issue,firstpage,film,dimension_1,dimension_2,area,date,names
THR-43,0,STRAIGHT OUTTA COMPTON,20,13,260,12/25/15,  
THR-43,7,JOY,10,13,130,12/25/15,  
THR-43,8,THE BIG SHORT,20,13,260,12/25/15,  
THR-43,12,THE MARTIAN,20,13,260,12/25/15,  
THR-43,15,BEASTS OF NO NATION,10,13,130,12/25/15,  
THR-43,22,EX MACHINA,10,13,130,12/25/15,  
THR-43,25,LOVE & MERCY,10,13,130,12/25/15,  
THR-43,27,SON OF SAUL,6.5,5,32.5,12/25/15,  
THR-43,27,THE LADY IN THE VAN,6.5,5,32.5,12/25/15,  
THR-43,27,GRANDMA,6.5,5,32.5,12/25/15,  
THR-43,27,INFINITELY POLAR BEAR,6.5,5,32.5,12/25/15,  
THR-43,29,MR HOLMES,10,13,130,12/25/15,  
THR-43,32,SON OF SAUL,5,13,65,12/25/15,  
THR-43,35,GRANDMA,3.33,10,33.3,12/25/15,  
THR-43,45,CHI-RAQ,10,13,130,12/25/15,  
THR-43,49,INSIDE OUT,10,13,130,12/25/15,  
THR-43,66,BEASTS OF NO NATION,2,6,12,12/25/15,  
THR-43,76,THE DANISH GIRL,10,13,130,12/25/15,  
THR-43,78,STEVE JOBS,20,13,260,12/25/15,  
THR-43,80,BRIDGE OF SPIES,13,15,195,12/25/15,  
THR-43,82,LEGEND,10,13,130,12/25/15,  
THR-43,bc,JOY,10,13,130,12/25/15,  
THR-42,0,BLACK MASS,20,13,260,12/18/15,depp  
THR-42,2,BRIDGE OF SPIES,20,13,260,12/18/15,rylance hanks 
THR-42,5,MAD MAX: FURY ROAD,10,13,130,12/18/15,theron  
THR-42,6,BEASTS OF NO NATION,10,13,130,12/18/15,elba  
THR-42,9,GOING CLEAR,10,13,130,12/18/15,  
THR-42,10,WHAT HAPPENED TO MISS SIMONE,20,13,260,12/18/15,  
THR-42,13,BEST OF ENEMIES,10,13,130,12/18/15,  
THR-42,15,BROOKLYN,10,13,130,12/18/15,ronan  
THR-42,16,JOY,10,13,130,12/18/15,lawrence  
THR-42,19,CREED,10,13,130,12/18/15,stallone jordan 
THR-42,21,WINTER ON FIRE,10,13,130,12/18/15,  
THR-42,23,ROOM,10,13,130,12/18/15,larson tremblay 
THR-42,24,THE DANISH GIRL,15,13,195,12/18/15,vikander redmayne 
THR-42,27,GRANDMA,3,10,30,12/18/15,tomlin elliot 
THR-42,29,HE NAMED ME MALALA,10,13,130,12/18/15,  
THR-42,35,A PIGEON SAT ON A BRANCH REFLECTING ON EXISTANCE,6.5,10,65,12/18/15,  
THR-42,35,A WAR,6.5,10,65,12/18/15,  
THR-42,37,MERV BELIEVE IN THE IMPOSSIBLE,10,13,130,12/18/15,  
